😱 tremble shudder freeze gasp chest-tight
😢 throat-closes eyes-sting lips-tremble tears-fall
😊 chest-warm face-softens shoulders-drop breath-eases
😌 spine-settles jaw-unclenches hands-still breath-slow
💔 gut-twists ribs-tighten chest-hollows breath-catches
😭 chest-cracks throat-swells eyes-flood body-shakes
😡 jaw-locks fists-clench face-burns blood-rushes
🤕 body-tenses wincing teeth-gritting pain-shoots
🙏 head-bows eyes-close hands-press chest-opens
💪 muscles-tense spine-straightens chest-lifts breath-deep
😴 body-sinks eyelids-heavy limbs-numb breath-slows
🥰 face-flushes heart-swells fingers-tingle warmth-spreads
😮 eyebrows-lift jaw-drops breath-catches eyes-widen
🤢 stomach-churns throat-tightens mouth-waters body-sways
😈 eyes-narrow lips-curl spine-tingles pulse-quickens
🌅 eyes-soften chest-opens breath-deepens warmth-rises
🌙 body-slows eyelids-droop muscles-release quiet-settles
🌧️ shoulders-hunch skin-chills body-contracts breath-shallow
☀️ face-lifts eyes-squint skin-warms body-loosens
🔥 skin-burns pulse-races cheeks-flush energy-surges
❄️ body-contracts teeth-chatter skin-prickles muscles-tighten
🌊 chest-swells breath-rhythms body-rocks spine-undulates
